name,provider,rocket,status,launch_time,pad,mission_type,year,month,day,day_of_week,hour,provider_id,rocket_id,mission_type_id,pad_id
Sputnik 8K71PS | Sputnik-1,RVSN USSR,Sputnik 8K71PS,Launch Successful,1957-10-04 19:28:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1957,10,4,Friday,19,40,282,7,83
Atlas-SLV3 Agena-D | Lunar Orbiter 4,General Dynamics,Atlas-SLV3 Agena-D,Launch Successful,1967-05-04 22:25:00+00:00,"LC-13, Cape Canaveral AFS, Florida, USA",Unknown,1967,5,4,Thursday,22,17,66,7,23
Vostok-2 | Cosmos 157,RVSN USSR,Vostok-2,Launch Successful,1967-05-12 10:30:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,5,12,Friday,10,40,332,7,83
Cosmos-3M (11K65M) | Cosmos 158,RVSN USSR,Cosmos-3M (11K65M),Launch Successful,1967-05-15 11:00:00+00:00,"Site 132/2, Plesetsk Cosmodrome, Russia",Unknown,1967,5,15,Monday,11,40,81,7,89
Molniya-M /Block L | Cosmos 159,RVSN USSR,Molniya-M /Block L,Partial Failure,1967-05-16 21:44:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,5,16,Tuesday,21,40,196,7,83
Tsyklon | Cosmos 160,RVSN USSR,Tsyklon,Launch Successful,1967-05-17 16:05:00+00:00,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,5,17,Wednesday,16,40,320,7,94
Voskhod | Cosmos 161,RVSN USSR,Voskhod,Launch Successful,1967-05-22 14:00:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,5,22,Monday,14,40,330,7,106
Atlas-SLV3 Agena-D | KH-7 Gambit 4037,General Dynamics,Atlas-SLV3 Agena-D,Launch Successful,1967-05-22 18:30:00+00:00,"SLC-4E, Vandenberg AFB, California, USA",Unknown,1967,5,22,Monday,18,17,66,7,72
Molniya | Molniya-1 n†­8,RVSN USSR,Molniya,Launch Successful,1967-05-24 22:50:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,5,24,Wednesday,22,40,194,7,83
Voskhod | Cosmos 162,RVSN USSR,Voskhod,Launch Successful,1967-06-01 10:40:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,6,1,Thursday,10,40,330,7,83
Atlas-SLV3 Agena-D | KH-7 Gambit 4038,General Dynamics,Atlas-SLV3 Agena-D,Launch Successful,1967-06-04 18:07:00+00:00,"SLC-4E, Vandenberg AFB, California, USA",Unknown,1967,6,4,Sunday,18,17,66,7,72
Cosmos-2I (63SM) | Cosmos 163,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1967-06-05 05:03:00+00:00,"Site 86/1, Kapustin Yar, Russia",Unknown,1967,6,5,Monday,5,40,79,7,115
Voskhod | Cosmos 164,RVSN USSR,Voskhod,Launch Successful,1967-06-08 13:00:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,6,8,Thursday,13,40,330,7,106
Molniya-M /Block VL | Venera 4,RVSN USSR,Molniya-M /Block VL,Launch Successful,1967-06-12 02:39:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,6,12,Monday,2,40,200,7,83
Cosmos-2I (63SM) | Cosmos 165,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1967-06-12 18:06:00+00:00,"Site 133/3, Plesetsk Cosmodrome, Russia",Unknown,1967,6,12,Monday,18,40,79,7,90
Atlas-SLV3 Agena-D | Mariner 5,General Dynamics,Atlas-SLV3 Agena-D,Launch Successful,1967-06-14 06:01:00+00:00,"LC-12, Cape Canaveral AFS, Florida, USA",Unknown,1967,6,14,Wednesday,6,17,66,7,22
Cosmos-2I (63SM) | Cosmos 166,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1967-06-16 04:43:00+00:00,"Site 86/1, Kapustin Yar, Russia",Unknown,1967,6,16,Friday,4,40,79,7,115
Molniya-M /Block VL | Cosmos 167,RVSN USSR,Molniya-M /Block VL,Partial Failure,1967-06-17 02:36:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,6,17,Saturday,2,40,200,7,83
Voskhod | Zenit-4 n†­31,RVSN USSR,Voskhod,Launch Failure,1967-06-20 11:00:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,6,20,Tuesday,11,40,330,7,106
Titan IIIB | OPS 4282,US Air Force,Titan IIIB,Partial Failure,1967-06-20 16:19:00+00:00,"SLC-4W, Vandenberg AFB, California, USA",Unknown,1967,6,20,Tuesday,16,48,305,7,73
"Titan IIIC | OPS 9331-9334, LES-5 & DODGE",Martin Marietta,Titan IIIC,Launch Successful,1967-07-01 13:15:00+00:00,"SLC-41, Cape Canaveral AFS, Florida, USA",Unknown,1967,7,1,Saturday,13,34,306,7,70
Voskhod | Cosmos 168,RVSN USSR,Voskhod,Launch Successful,1967-07-04 05:59:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,7,4,Tuesday,5,40,330,7,101
Atlas-LV3C Centaur-D | Surveyor 4,General Dynamics,Atlas-LV3C Centaur-D,Launch Successful,1967-07-14 11:53:00+00:00,"SLC-36A, Cape Canaveral AFS, Florida, USA",Unknown,1967,7,14,Friday,11,17,64,7,64
Tsyklon | Cosmos 169,RVSN USSR,Tsyklon,Launch Successful,1967-07-17 16:45:00+00:00,"Site 162, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,7,17,Monday,16,40,320,7,95
Voskhod | Zenit-4 n†­32,RVSN USSR,Voskhod,Launch Failure,1967-07-21 06:00:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,7,21,Friday,6,40,330,7,101
Atlas-D OV1 | OV1-11/OV1-12/OV1-86,General Dynamics,Atlas-D OV1,Partial Failure,1967-07-27 19:00:00+00:00,"LC-576B3, Vandenberg AFB, California, USA",Unknown,1967,7,27,Thursday,19,17,44,7,39
Tsyklon | Cosmos 170,RVSN USSR,Tsyklon,Launch Successful,1967-07-31 16:45:00+00:00,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,7,31,Monday,16,40,320,7,94
Atlas-SLV3 Agena-D | Lunar Orbiter 5,General Dynamics,Atlas-SLV3 Agena-D,Launch Successful,1967-08-01 22:33:00+00:00,"LC-13, Cape Canaveral AFS, Florida, USA",Unknown,1967,8,1,Tuesday,22,17,66,7,23
Tsyklon | Cosmos 171,RVSN USSR,Tsyklon,Launch Successful,1967-08-08 16:05:00+00:00,"Site 162, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,8,8,Tuesday,16,40,320,7,95
Voskhod | Cosmos 172,RVSN USSR,Voskhod,Launch Successful,1967-08-09 05:45:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,8,9,Wednesday,5,40,330,7,83
Titan IIIB | OPS 4866,US Air Force,Titan IIIB,Launch Successful,1967-08-16 17:02:00+00:00,"SLC-4W, Vandenberg AFB, California, USA",Unknown,1967,8,16,Wednesday,17,48,305,7,73
Cosmos-2I (63SM) | Cosmos 173,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1967-08-24 04:59:00+00:00,"Site 133/3, Plesetsk Cosmodrome, Russia",Unknown,1967,8,24,Thursday,4,40,79,7,90
Molniya | Cosmos 174,RVSN USSR,Molniya,Launch Successful,1967-08-31 08:00:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,8,31,Thursday,8,40,194,7,83
Voskhod | Zenit-2 n†­51,RVSN USSR,Voskhod,Launch Failure,1967-09-01 10:30:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,9,1,Friday,10,40,330,7,106
Atlas-SLV3C Centaur-D | Surveyor 5,General Dynamics,Atlas-SLV3C Centaur-D,Launch Successful,1967-09-08 07:57:00+00:00,"SLC-36B, Cape Canaveral AFS, Florida, USA",Unknown,1967,9,8,Friday,7,17,70,7,65
Voskhod | Cosmos 175,RVSN USSR,Voskhod,Launch Successful,1967-09-11 10:30:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,9,11,Monday,10,40,330,7,106
Cosmos-2I (63SM) | Cosmos 176,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1967-09-12 17:00:00+00:00,"Site 133/3, Plesetsk Cosmodrome, Russia",Unknown,1967,9,12,Tuesday,17,40,79,7,90
Voskhod | Cosmos 177,RVSN USSR,Voskhod,Launch Successful,1967-09-16 06:06:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,9,16,Saturday,6,40,330,7,83
Tsyklon | Cosmos 178,RVSN USSR,Tsyklon,Launch Successful,1967-09-19 14:45:00+00:00,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,9,19,Tuesday,14,40,320,7,94
Titan IIIB | OPS 4941,US Air Force,Titan IIIB,Launch Successful,1967-09-19 18:28:00+00:00,"SLC-4W, Vandenberg AFB, California, USA",Unknown,1967,9,19,Tuesday,18,48,305,7,73
Tsyklon | Cosmos 179,RVSN USSR,Tsyklon,Launch Successful,1967-09-22 14:05:00+00:00,"Site 162, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,9,22,Friday,14,40,320,7,95
Voskhod | Cosmos 180,RVSN USSR,Voskhod,Launch Successful,1967-09-26 10:20:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,9,26,Tuesday,10,40,330,7,106
Cosmos-3M (11K65M) | Zaliv #2,RVSN USSR,Cosmos-3M (11K65M),Launch Failure,1967-09-27 11:00:00+00:00,"Site 132/2, Plesetsk Cosmodrome, Russia",Unknown,1967,9,27,Wednesday,11,40,81,7,89
Proton K/Block D | Zond,RVSN USSR,Proton K/Block D,Launch Failure,1967-09-27 21:11:00+00:00,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,9,27,Wednesday,21,40,228,7,113
Molniya | Molniya-1 n†­9,RVSN USSR,Molniya,Launch Successful,1967-10-03 05:00:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,10,3,Tuesday,5,40,194,7,83
Voskhod | Cosmos 181,RVSN USSR,Voskhod,Launch Successful,1967-10-11 11:30:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,10,11,Wednesday,11,40,330,7,106
Cosmos-3 (11K65) | VKZ,OKB-586,Cosmos-3 (11K65),Launch Successful,1967-10-12 14:15:00+00:00,"Site 41/15, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,10,12,Thursday,14,37,80,7,107
Voskhod | Cosmos 182,RVSN USSR,Voskhod,Launch Successful,1967-10-16 08:00:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,10,16,Monday,8,40,330,7,101
Tsyklon | Cosmos 183,RVSN USSR,Tsyklon,Launch Successful,1967-10-18 13:30:00+00:00,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,10,18,Wednesday,13,40,320,7,94
Molniya | Molniya-1 n†­12,RVSN USSR,Molniya,Launch Successful,1967-10-22 08:40:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,10,22,Sunday,8,40,194,7,83
Vostok-2M | Cosmos 184,RVSN USSR,Vostok-2M,Launch Successful,1967-10-24 22:49:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,10,24,Tuesday,22,40,334,7,106
Titan IIIB | OPS 4995,US Air Force,Titan IIIB,Launch Successful,1967-10-25 19:15:00+00:00,"SLC-4W, Vandenberg AFB, California, USA",Unknown,1967,10,25,Wednesday,19,48,305,7,73
Tsyklon-2A | Cosmos 185,RVSN USSR,Tsyklon-2A,Launch Successful,1967-10-27 02:21:00+00:00,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,10,27,Friday,2,40,322,7,116
Soyuz | Cosmos 186,RVSN USSR,Soyuz,Launch Successful,1967-10-27 09:29:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,10,27,Friday,9,40,257,7,101
Tsyklon | Cosmos 187,RVSN USSR,Tsyklon,Launch Successful,1967-10-28 13:15:00+00:00,"Site 162, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,10,28,Saturday,13,40,320,7,95
Soyuz | Cosmos 188,RVSN USSR,Soyuz,Launch Successful,1967-10-30 08:12:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,10,30,Monday,8,40,257,7,83
Cosmos-3M (11K65M) | Cosmos 189,RVSN USSR,Cosmos-3M (11K65M),Launch Successful,1967-10-30 18:00:00+00:00,"Site 132/2, Plesetsk Cosmodrome, Russia",Unknown,1967,10,30,Monday,18,40,81,7,89
Voskhod | Cosmos 190,RVSN USSR,Voskhod,Launch Successful,1967-11-03 11:20:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,11,3,Friday,11,40,330,7,106
Atlas-SLV3 Agena-D | ATS-3,General Dynamics,Atlas-SLV3 Agena-D,Launch Successful,1967-11-05 23:37:00+00:00,"LC-12, Cape Canaveral AFS, Florida, USA",Unknown,1967,11,5,Sunday,23,17,66,7,22
Atlas-SLV3C Centaur-D | Surveyor 6,General Dynamics,Atlas-SLV3C Centaur-D,Launch Successful,1967-11-07 07:39:00+00:00,"SLC-36B, Cape Canaveral AFS, Florida, USA",Unknown,1967,11,7,Tuesday,7,17,70,7,65
Saturn V | Apollo 4,NASA,Saturn V,Launch Successful,1967-11-09 12:00:00+00:00,"LC-39A, Kennedy Space Center, Florida, USA",Unknown,1967,11,9,Thursday,12,35,241,7,34
Cosmos-2I (63SM) | Cosmos 191,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1967-11-21 14:29:00+00:00,"Site 133/3, Plesetsk Cosmodrome, Russia",Unknown,1967,11,21,Tuesday,14,40,79,7,90
Proton K/Block D | Zond,RVSN USSR,Proton K/Block D,Launch Failure,1967-11-22 19:07:00+00:00,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,11,22,Wednesday,19,40,228,7,114
Cosmos-3M (11K65M) | Cosmos 192,RVSN USSR,Cosmos-3M (11K65M),Launch Successful,1967-11-23 15:00:00+00:00,"Site 132/2, Plesetsk Cosmodrome, Russia",Unknown,1967,11,23,Thursday,15,40,81,7,89
Voskhod | Cosmos 193,RVSN USSR,Voskhod,Launch Successful,1967-11-25 11:30:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,11,25,Saturday,11,40,330,7,106
Voskhod | Cosmos 194,RVSN USSR,Voskhod,Launch Successful,1967-12-03 12:00:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,12,3,Sunday,12,40,330,7,106
Titan IIIB | OPS 5000,US Air Force,Titan IIIB,Launch Successful,1967-12-05 18:45:00+00:00,"SLC-4W, Vandenberg AFB, California, USA",Unknown,1967,12,5,Tuesday,18,48,305,7,73
Voskhod | Cosmos 195,RVSN USSR,Voskhod,Launch Successful,1967-12-16 12:00:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1967,12,16,Saturday,12,40,330,7,106
Cosmos-2I (63S1) | Cosmos 196,RVSN USSR,Cosmos-2I (63S1),Launch Successful,1967-12-19 06:30:00+00:00,"Site 86/1, Kapustin Yar, Russia",Unknown,1967,12,19,Tuesday,6,40,78,7,115
Cosmos-2I (63SM) | Cosmos 197,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1967-12-26 09:01:00+00:00,"Site 86/1, Kapustin Yar, Russia",Unknown,1967,12,26,Tuesday,9,40,79,7,115
Tsyklon-2A | Cosmos 198,RVSN USSR,Tsyklon-2A,Launch Successful,1967-12-27 11:28:00+00:00,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Unknown,1967,12,27,Wednesday,11,40,322,7,116
Atlas-SLV3C Centaur-D | Surveyor 7,General Dynamics,Atlas-SLV3C Centaur-D,Launch Successful,1968-01-07 06:30:00+00:00,"SLC-36A, Cape Canaveral AFS, Florida, USA",Unknown,1968,1,7,Sunday,6,17,70,7,64
Voskhod | Cosmos 199,RVSN USSR,Voskhod,Launch Successful,1968-01-16 12:00:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1968,1,16,Tuesday,12,40,330,7,106
Titan IIIB | OPS 5028,US Air Force,Titan IIIB,Launch Successful,1968-01-18 19:04:00+00:00,"SLC-4W, Vandenberg AFB, California, USA",Unknown,1968,1,18,Thursday,19,48,305,7,73
Cosmos-3M (11K65M) | Cosmos 200,RVSN USSR,Cosmos-3M (11K65M),Launch Successful,1968-01-19 22:00:00+00:00,"Site 132/2, Plesetsk Cosmodrome, Russia",Unknown,1968,1,19,Friday,22,40,81,7,89
Saturn IB | Apollo 5,NASA,Saturn IB,Launch Successful,1968-01-22 22:48:00+00:00,"SLC-37B, Cape Canaveral AFS, Florida, USA",Unknown,1968,1,22,Monday,22,35,240,7,66
Voskhod | Cosmos 201,RVSN USSR,Voskhod,Launch Successful,1968-02-06 08:00:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,2,6,Tuesday,8,40,330,7,101
Molniya-M /Block L | E-6LS n†­112,RVSN USSR,Molniya-M /Block L,Launch Failure,1968-02-07 10:43:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,2,7,Wednesday,10,40,196,7,83
Cosmos-2I (63SM) | Cosmos 202,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1968-02-20 10:03:00+00:00,"Site 86/1, Kapustin Yar, Russia",Unknown,1968,2,20,Tuesday,10,40,79,7,115
Cosmos-3M (11K65M) | Cosmos 203,RVSN USSR,Cosmos-3M (11K65M),Launch Successful,1968-02-20 16:00:00+00:00,"Site 132/2, Plesetsk Cosmodrome, Russia",Unknown,1968,2,20,Tuesday,16,40,81,7,89
Proton K/Block D | Zond-4,RVSN USSR,Proton K/Block D,Partial Failure,1968-03-02 18:29:00+00:00,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,3,2,Saturday,18,40,228,7,113
Atlas-SLV3A Agena-D | OGO-5,General Dynamics,Atlas-SLV3A Agena-D,Launch Successful,1968-03-04 13:06:00+00:00,"LC-13, Cape Canaveral AFS, Florida, USA",Unknown,1968,3,4,Monday,13,17,68,7,23
Cosmos-2I (63SM) | Cosmos 204,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1968-03-05 11:20:00+00:00,"Site 133/3, Plesetsk Cosmodrome, Russia",Unknown,1968,3,5,Tuesday,11,40,79,7,90
Voskhod | Cosmos 205,RVSN USSR,Voskhod,Launch Successful,1968-03-05 12:30:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1968,3,5,Tuesday,12,40,330,7,106
Titan IIIB | OPS 5057,US Air Force,Titan IIIB,Launch Successful,1968-03-13 19:55:00+00:00,"SLC-4W, Vandenberg AFB, California, USA",Unknown,1968,3,13,Wednesday,19,48,305,7,73
Vostok-2M | Cosmos 206,RVSN USSR,Vostok-2M,Launch Successful,1968-03-14 09:34:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1968,3,14,Thursday,9,40,334,7,106
Voskhod | Cosmos 207,RVSN USSR,Voskhod,Launch Successful,1968-03-16 12:30:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1968,3,16,Saturday,12,40,330,7,106
Voskhod | Cosmos 208,RVSN USSR,Voskhod,Launch Successful,1968-03-21 09:50:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,3,21,Thursday,9,40,330,7,83
Tsyklon-2A | Cosmos 209,RVSN USSR,Tsyklon-2A,Launch Successful,1968-03-22 09:30:00+00:00,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,3,22,Friday,9,40,322,7,116
Voskhod | Cosmos 210,RVSN USSR,Voskhod,Launch Successful,1968-04-03 11:00:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1968,4,3,Wednesday,11,40,330,7,106
Saturn V | Apollo 6,NASA,Saturn V,Partial Failure,1968-04-04 12:00:00+00:00,"LC-39A, Kennedy Space Center, Florida, USA",Unknown,1968,4,4,Thursday,12,35,241,7,34
Atlas-E/F OV1 | OV1-13/OV1-14,General Dynamics,Atlas-E/F OV1,Launch Successful,1968-04-06 09:59:00+00:00,"LC-576A2, Vandenberg AFB, California, USA",Unknown,1968,4,6,Saturday,9,17,50,7,38
Molniya-M /Block L | Luna 14,RVSN USSR,Molniya-M /Block L,Launch Successful,1968-04-07 10:09:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,4,7,Sunday,10,40,196,7,83
Cosmos-2I (63SM) | Cosmos 211,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1968-04-09 11:26:00+00:00,"Site 133/3, Plesetsk Cosmodrome, Russia",Unknown,1968,4,9,Tuesday,11,40,79,7,90
Soyuz | Cosmos 212,RVSN USSR,Soyuz,Launch Successful,1968-04-14 10:00:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,4,14,Sunday,10,40,257,7,101
Soyuz | Cosmos 213,RVSN USSR,Soyuz,Launch Successful,1968-04-15 09:34:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,4,15,Monday,9,40,257,7,83
Titan IIIB | OPS 5105,US Air Force,Titan IIIB,Launch Successful,1968-04-17 17:00:00+00:00,"SLC-4W, Vandenberg AFB, California, USA",Unknown,1968,4,17,Wednesday,17,48,305,7,73
Voskhod | Cosmos 214,RVSN USSR,Voskhod,Launch Successful,1968-04-18 10:30:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1968,4,18,Thursday,10,40,330,7,106
Cosmos-2I (63SM) | Cosmos 215,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1968-04-18 22:29:00+00:00,"Site 86/1, Kapustin Yar, Russia",Unknown,1968,4,18,Thursday,22,40,79,7,115
Voskhod | Cosmos 216,RVSN USSR,Voskhod,Launch Successful,1968-04-20 10:30:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,4,20,Saturday,10,40,330,7,101
Molniya-M /Block L | Molniya-1 n†­10,RVSN USSR,Molniya-M /Block L,Launch Successful,1968-04-21 04:20:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,4,21,Sunday,4,40,196,7,83
Proton K/Block D | Zond,RVSN USSR,Proton K/Block D,Launch Failure,1968-04-22 23:01:00+00:00,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,4,22,Monday,23,40,228,7,114
Tsyklon-2A | Cosmos 217,RVSN USSR,Tsyklon-2A,Partial Failure,1968-04-24 16:00:00+00:00,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,4,24,Wednesday,16,40,322,7,116
Tsyklon | Cosmos 218,RVSN USSR,Tsyklon,Launch Successful,1968-04-25 00:45:00+00:00,"Site 162, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,4,25,Thursday,0,40,320,7,95
Cosmos-2I (63SM) | Cosmos 219,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1968-04-26 04:42:00+00:00,"Site 86/1, Kapustin Yar, Russia",Unknown,1968,4,26,Friday,4,40,79,7,115
Cosmos-3M (11K65M) | Cosmos 220,RVSN USSR,Cosmos-3M (11K65M),Launch Successful,1968-05-07 13:57:00+00:00,"Site 132/2, Plesetsk Cosmodrome, Russia",Unknown,1968,5,7,Tuesday,13,40,81,7,89
Cosmos-2I (63SM) | Cosmos 221,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1968-05-24 07:04:00+00:00,"Site 86/1, Kapustin Yar, Russia",Unknown,1968,5,24,Friday,7,40,79,7,115
Cosmos-2I (63SM) | Cosmos 222,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1968-05-30 20:29:00+00:00,"Site 133/3, Plesetsk Cosmodrome, Russia",Unknown,1968,5,30,Thursday,20,40,79,7,90
Voskhod | Cosmos 223,RVSN USSR,Voskhod,Launch Successful,1968-06-01 10:50:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1968,6,1,Saturday,10,40,330,7,106
Voskhod | Cosmos 224,RVSN USSR,Voskhod,Launch Successful,1968-06-04 06:45:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,6,4,Tuesday,6,40,330,7,101
Cosmos-3M (11K65M) | Sfera #2,RVSN USSR,Cosmos-3M (11K65M),Launch Failure,1968-06-04 18:45:00+00:00,"Site 132/2, Plesetsk Cosmodrome, Russia",Unknown,1968,6,4,Tuesday,18,40,81,7,89
Titan IIIB | OPS 5138,US Air Force,Titan IIIB,Launch Successful,1968-06-05 17:31:00+00:00,"SLC-4W, Vandenberg AFB, California, USA",Unknown,1968,6,5,Wednesday,17,48,305,7,73
Cosmos-2I (63SM) | Cosmos 225,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1968-06-11 21:29:00+00:00,"Site 86/1, Kapustin Yar, Russia",Unknown,1968,6,11,Tuesday,21,40,79,7,115
Vostok-2M | Cosmos 226,RVSN USSR,Vostok-2M,Launch Successful,1968-06-12 13:14:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1968,6,12,Wednesday,13,40,334,7,106
Titan IIIC | OPS 9341-9348,Martin Marietta,Titan IIIC,Launch Successful,1968-06-13 14:03:00+00:00,"SLC-41, Cape Canaveral AFS, Florida, USA",Unknown,1968,6,13,Thursday,14,34,306,7,70
Voskhod | Cosmos 227,RVSN USSR,Voskhod,Launch Successful,1968-06-18 16:15:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,6,18,Tuesday,16,40,330,7,101
Voskhod | Cosmos 228,RVSN USSR,Voskhod,Launch Successful,1968-06-21 12:00:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,6,21,Friday,12,40,330,7,83
Voskhod | Cosmos 229,RVSN USSR,Voskhod,Launch Successful,1968-06-26 11:00:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1968,6,26,Wednesday,11,40,330,7,106
Cosmos-2I (63SM) | Cosmos 230,RVSN USSR,Cosmos-2I (63SM),Launch Successful,1968-07-05 06:59:00+00:00,"Site 86/1, Kapustin Yar, Russia",Unknown,1968,7,5,Friday,6,40,79,7,115
Molniya-M /Block L | Molniya-1 n†­13,RVSN USSR,Molniya-M /Block L,Launch Successful,1968-07-05 15:25:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,7,5,Friday,15,40,196,7,83
Voskhod | Cosmos 231,RVSN USSR,Voskhod,Launch Successful,1968-07-10 19:49:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Unknown,1968,7,10,Wednesday,19,40,330,7,101
Atlas-E/F OV1 | OV1-15/OV1-16,General Dynamics,Atlas-E/F OV1,Launch Successful,1968-07-11 19:30:00+00:00,"LC-576A2, Vandenberg AFB, California, USA",Unknown,1968,7,11,Thursday,19,17,50,7,38
Voskhod | Cosmos 232,RVSN USSR,Voskhod,Launch Successful,1968-07-16 13:10:00+00:00,"Site 41/1, Plesetsk Cosmodrome, Russia",Unknown,1968,7,16,Tuesday,13,40,330,7,106
