False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0,0.0013175230566534915,0.9951557210607378
0.0,0.011857707509881422,0.9888851543496366
0.012345679012345678,0.011857707509881422,0.9887215114751117
0.012345679012345678,0.013175230566534914,0.9880356642735871
0.024691358024691357,0.013175230566534914,0.9876988177375047
0.024691358024691357,0.08695652173913043,0.9790122427909254
0.037037037037037035,0.08695652173913043,0.9789301295822193
0.037037037037037035,0.1686429512516469,0.9704501928869141
0.04938271604938271,0.1686429512516469,0.9702840266913637
0.04938271604938271,0.1976284584980237,0.9667414439636128
0.06172839506172839,0.1976284584980237,0.966572082793836
0.06172839506172839,0.22397891963109354,0.9637704772233521
0.08641975308641975,0.22397891963109354,0.9634195605849204
0.08641975308641975,0.2318840579710145,0.9626025142438287
0.09876543209876543,0.2318840579710145,0.9622257835958253
0.09876543209876543,0.27140974967061926,0.958573302059865
0.1111111111111111,0.27140974967061926,0.9585674096529968
0.1111111111111111,0.2727272727272727,0.958321527256263
0.12345679012345678,0.2727272727272727,0.9582119034372915
0.12345679012345678,0.2964426877470356,0.955963798884232
0.13580246913580246,0.2964426877470356,0.9559174158491243
0.13580246913580246,0.31357048748353095,0.9539793553744842
0.14814814814814814,0.31357048748353095,0.953967479512521
0.14814814814814814,0.3241106719367589,0.9531935338666784
0.16049382716049382,0.3241106719367589,0.9531139853936038
0.16049382716049382,0.32938076416337286,0.9529354085570597
0.1728395061728395,0.32938076416337286,0.9528831105516542
0.1728395061728395,0.3359683794466403,0.9523736909750452
0.18518518518518517,0.3359683794466403,0.9523448245355999
0.18518518518518517,0.35046113306982873,0.9513431868565912
0.19753086419753085,0.35046113306982873,0.9512980146782222
0.19753086419753085,0.35968379446640314,0.950880695835096
0.20987654320987653,0.35968379446640314,0.9507436379895979
0.20987654320987653,0.4453227931488801,0.9448350768267232
0.2222222222222222,0.4453227931488801,0.9448230695886242
0.2222222222222222,0.5322793148880105,0.9374011691612428
0.2345679012345679,0.5322793148880105,0.9373936241363038
0.2345679012345679,0.5401844532279315,0.9367893048696587
0.24691358024691357,0.5401844532279315,0.9367649273174908
0.24691358024691357,0.5559947299077734,0.935668748021409
0.25925925925925924,0.5559947299077734,0.9356480051007076
0.25925925925925924,0.6310935441370223,0.9269626135042521
0.2716049382716049,0.6310935441370223,0.9268718418190494
0.2716049382716049,0.6495388669301713,0.9243504511419145
0.2962962962962963,0.6495388669301713,0.9240971573310794
0.2962962962962963,0.6548089591567853,0.9232848787444405
0.30864197530864196,0.6548089591567853,0.9227614875328342
0.30864197530864196,0.6561264822134387,0.9222973031681551
0.32098765432098764,0.6561264822134387,0.9221136800300521
0.32098765432098764,0.6982872200263505,0.9154674775797657
0.3333333333333333,0.6982872200263505,0.9152807020154589
0.3333333333333333,0.7127799736495388,0.9127474926975333
0.345679012345679,0.7127799736495388,0.9125162698146982
0.345679012345679,0.7193675889328063,0.9109880112888915
0.35802469135802467,0.7193675889328063,0.9107033769150886
0.35802469135802467,0.7338603425559947,0.907107682662206
0.37037037037037035,0.7338603425559947,0.9069375034185644
0.37037037037037035,0.7483530961791831,0.9010191818780169
0.38271604938271603,0.7483530961791831,0.900818996330157
0.38271604938271603,0.761528326745718,0.8942342134867388
0.3950617283950617,0.761528326745718,0.893280260450239
0.3950617283950617,0.7733860342555995,0.8875242861497528
0.4074074074074074,0.7733860342555995,0.887352008868216
0.4074074074074074,0.7918313570487484,0.8810879892062051
0.41975308641975306,0.7918313570487484,0.8798344572859673
0.41975308641975306,0.7931488801054019,0.8793873207126627
0.43209876543209874,0.7931488801054019,0.8786695055451679
0.43209876543209874,0.8115942028985508,0.8740172439843409
0.4444444444444444,0.8115942028985508,0.8737788544848875
0.4444444444444444,0.847167325428195,0.8579839526614853
0.4567901234567901,0.847167325428195,0.8574095629094706
0.4567901234567901,0.849802371541502,0.8567729043637397
0.4691358024691358,0.849802371541502,0.8565459177436604
0.4691358024691358,0.8511198945981555,0.8554541693464577
0.49382716049382713,0.8511198945981555,0.8537014879584798
0.49382716049382713,0.857707509881423,0.8504050236973528
0.5061728395061729,0.857707509881423,0.850343874122978
0.5061728395061729,0.8590250329380764,0.8498248944932718
0.5185185185185185,0.8590250329380764,0.8495891189271061
0.5185185185185185,0.8669301712779973,0.8457552581396189
0.5308641975308642,0.8669301712779973,0.8454757538477776
0.5308641975308642,0.8682476943346509,0.8453035208025277
0.5432098765432098,0.8682476943346509,0.8448034449258838
0.5432098765432098,0.8774703557312253,0.841176539658383
0.5555555555555556,0.8774703557312253,0.8383494525986119
0.5555555555555556,0.8866930171277997,0.8251467796413448
0.5679012345679012,0.8866930171277997,0.8250687099802299
0.5679012345679012,0.8945981554677207,0.8172800140843118
0.5802469135802469,0.8945981554677207,0.8170406401117493
0.5802469135802469,0.8972332015810277,0.8130340834096016
0.5925925925925926,0.8972332015810277,0.8121940380091522
0.5925925925925926,0.9025032938076416,0.8087354570448154
0.6049382716049383,0.9025032938076416,0.8074812680578837
0.6049382716049383,0.9064558629776021,0.8056040808519364
0.6172839506172839,0.9064558629776021,0.8044886509346061
0.6172839506172839,0.9077733860342556,0.8031164564010632
0.6296296296296297,0.9077733860342556,0.8026068137351651
0.6296296296296297,0.9090909090909091,0.8024326152471564
0.6419753086419753,0.9090909090909091,0.7999985304195394
0.6419753086419753,0.9235836627140975,0.7896802795877099
0.654320987654321,0.9235836627140975,0.7888733767248283
0.654320987654321,0.924901185770751,0.7872441157858027
0.6666666666666666,0.924901185770751,0.7845206800813819
0.6666666666666666,0.927536231884058,0.7824960649994864
0.6790123456790124,0.927536231884058,0.7820122797597142
0.6790123456790124,0.930171277997365,0.7812253975312702
0.7037037037037037,0.930171277997365,0.7781759315914815
0.7037037037037037,0.9380764163372859,0.7634149163697065
0.7160493827160493,0.9380764163372859,0.7629748041888958
0.7160493827160493,0.9393939393939394,0.7615894985509091
0.7283950617283951,0.9393939393939394,0.7561599162123478
0.7283950617283951,0.9420289855072463,0.7535061813048063
0.7530864197530864,0.9420289855072463,0.7530217270197513
0.7530864197530864,0.9552042160737813,0.7270344602318017
0.7654320987654321,0.9552042160737813,0.7204423885713337
0.7654320987654321,0.9604743083003953,0.7029336294177961
